job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source,posted_date,job_title_clean,company_name_clean,salary_min_lpa,salary_max_lpa,salary_avg_lpa,exp_min_years,exp_max_years,experience_level,primary_city,is_remote,is_hybrid,text_to_search,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_r,has_statistics,has_machine_learning,has_data_visualization,has_etl,has_pandas,has_numpy,has_scikit-learn,has_aws,has_azure,has_big_data,total_skills_mentioned,cleaned_at,days_since_scraped
Data Analyst,https://www.naukri.com/job-listings-data-analyst-meera-hr-verticals-pune-1-to-3-years-031225023985,Meera Hr Verticals,1-3 Yrs,5-8.5 Lacs PA,Pune(Senapati Bapat Road),"Data Analysis, Data Cleansing, Troubleshooting, Data Analytics, Database Development, Communication Skills, Power Bi, Data Manipulation, Save",,data-analyst,pune,2025-12-04 12:14:04,Naukri,,Data Analyst,Meera Hr Verticals,5.0,8.5,6.75,1.0,3.0,Entry Level (0-2 years),Pune,False,False," data analysis, data cleansing, troubleshooting, data analytics, database development, communication skills, power bi, data manipulation, save",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst L3,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-241125926108,Wipro,3-5 Yrs,Not Disclosed,Pune,"data analysis, data mining, business analytics, data engineering, dashboards, python, data validation, data warehousing, Save",,data-analyst,pune,2025-12-04 12:14:04,Naukri,,Data Analyst,Wipro,,,,3.0,5.0,Mid Level (3-5 years),Pune,False,False," data analysis, data mining, business analytics, data engineering, dashboards, python, data validation, data warehousing, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-rockwell-automation-noida-new-delhi-pune-bengaluru-0-to-6-years-151025501925,Rockwell Automation,0-6 Yrs,Not Disclosed,"Pune, Noida, New Delhi, Bengaluru","Computer science, Change management, Automation, Data modeling, Data Analyst, Data analytics, Data mining, Continuous improvement, Save",,data-analyst,pune,2025-12-04 12:14:05,Naukri,,Data Analyst,Rockwell Automation,,,,0.0,6.0,Fresher (0 years),Pune,False,False," computer science, change management, automation, data modeling, data analyst, data analytics, data mining, continuous improvement, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-nexzu-mobility-kolkata-mumbai-pune-chennai-1-to-6-years-241125504822,Nexzu Mobility,1-6 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, Chennai","database maintenance, data analysis, data management, modeling, bi, documentation, power bi, data integrity, Save",,data-analyst,pune,2025-12-04 12:14:05,Naukri,,Data Analyst,Nexzu Mobility,,,,1.0,6.0,Entry Level (0-2 years),Pune,False,False," database maintenance, data analysis, data management, modeling, bi, documentation, power bi, data integrity, save",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-vipany-global-solutions-pune-3-to-5-years-251125033256,Vipany Management Consulting,3-5 Yrs,4.5-9.5 Lacs PA,Hybrid - Pune,"Tableau, SQL, Advanced Excel, Data analysis, Excel, Data, Save",,data-analyst,pune,2025-12-04 12:14:06,Naukri,,Data Analyst,Vipany Management Consulting,4.5,9.5,7.0,3.0,5.0,Mid Level (3-5 years),Pune,False,True," tableau, sql, advanced excel, data analysis, excel, data, save",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,3,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-cindrebay-school-of-fashion-interior-design-kochi-kolkata-kannur-indore-nagpur-hyderabad-pune-lucknow-kozhikode-coimbatore-bengaluru-thiruvananthapuram-1-to-4-years-061125502137,Cindrebay School Of Fashion & Interior Design,1-4 Yrs,Not Disclosed,"Pune, Kochi, Kolkata, Kannur, Indore, Nagpur, Hyderabad, Lucknow, Kozhikode, Coimbatore, Bengaluru, Thiruvananthapuram","database maintenance, python, data analytics, data analysis, design development, information management, mathematics, data mining, Save",,data-analyst,pune,2025-12-04 12:14:06,Naukri,,Data Analyst,Cindrebay School Of Fashion & Interior Design,,,,1.0,4.0,Entry Level (0-2 years),Pune,False,False," database maintenance, python, data analytics, data analysis, design development, information management, mathematics, data mining, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst - Python,https://www.naukri.com/job-listings-data-analyst-python-mphasis-pune-chennai-6-to-10-years-271125014543,Mphasis,6-10 Yrs,Not Disclosed,"Pune, Chennai","ETL, Python, GIT, Pandas, JIRA, Numpy, Data, Data analysis, Save",,data-analyst,pune,2025-12-04 12:14:07,Naukri,,Data Analyst,Mphasis,,,,6.0,10.0,Senior Level (5+ years),Pune,False,False," etl, python, git, pandas, jira, numpy, data, data analysis, save",True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,4,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-systems-plus-solutions-pvt-ltd-pune-2-to-4-years-011225501024,Systems Plus Solutions Pvt Ltd,2-4 Yrs,Not Disclosed,Pune,"Data analysis, ERP, power bi, Data quality, Merchandising, Operations, Analytics, SQL, Save",,data-analyst,pune,2025-12-04 12:14:08,Naukri,,Data Analyst,Systems Plus Solutions Pvt Ltd,,,,2.0,4.0,Entry Level (0-2 years),Pune,False,False," data analysis, erp, power bi, data quality, merchandising, operations, analytics, sql, save",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-aumni-techworks-pune-9-to-14-years-201125503467,Aumni Techworks,9-14 Yrs,Not Disclosed,Pune,"data cleansing, Automation, Aviation, Analytical, Process improvement, Machine learning, Data quality, Software services, Save",,data-analyst,pune,2025-12-04 12:14:08,Naukri,,Data Analyst,Aumni Techworks,,,,9.0,14.0,Senior Level (5+ years),Pune,False,False," data cleansing, automation, aviation, analytical, process improvement, machine learning, data quality, software services, save",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst - Adobe Target,https://www.naukri.com/job-listings-data-analyst-adobe-target-merkle-inc-pune-madhubani-2-to-4-years-201125501789,Merkle B2b,2-4 Yrs,Not Disclosed,"Pune, Madhubani","Analytical skills, adobe analytics, Web analytics, MS Office tools, HTML, Data Analyst, SDK, Digital marketing, Save",,data-analyst,pune,2025-12-04 12:14:09,Naukri,,Data Analyst,Merkle B2b,,,,2.0,4.0,Entry Level (0-2 years),Pune,False,False," analytical skills, adobe analytics, web analytics, ms office tools, html, data analyst, sdk, digital marketing, save",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
