job_title,company_name,location,salary,description,job_url,posted_date,search_keyword,search_location,scraped_at,source
Data Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=701627cd68cf89a9&bb=cZixMaSigE9w70GuqxrhHXQJPyn4-HhROnufGjmUrxpvzXvaLtj5FE-dsPf3JQ7Kd92r-yThc_VcqkzTECnBRcJjGEEl_oIdanGAYh_biz8UrQT3I-jTq8yVfVkskW5lqSdifkmEDxWZqieflD-bwA%3D%3D&xkcb=SoDX67M3q0J_56TNRR0LbzkdCdPP&fccid=c26d104f25f1364f&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:32,Indeed
Analyst - Data Operations,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=77c527ae8e6d8d9e&bb=cZixMaSigE9w70GuqxrhHe1p9UsCRbkNXr55vctIO6K4q4extCa0Xogaag-4kpIGfh4q7Yja_cBeJwG8bw_pCML3xtTIVi5g6cSTO5jQzFmAqr6aAVuCwjYmscVglkmLwyBbnYbGj3Hy-84BX_TrBQ%3D%3D&xkcb=SoBj67M3q0J_56TNRR0KbzkdCdPP&fccid=7e0fdd1741ebc6b9&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:32,Indeed
Data Analyst - Operations,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=d57c33e519b7922d&bb=cZixMaSigE9w70GuqxrhHWFGU5IzddIfHQYnQEjO6nXVP7QKEeyXphzuimBiljzLoVk-IrxELXpbs2f4Br5mQ7rcRrcitT_FXjT8P4uoWfgl-dww31NrjcRrfBYCv_AD3A0qlZt9mpo56ODLs35gsg%3D%3D&xkcb=SoD-67M3q0J_56TNRR0JbzkdCdPP&fccid=6cd995ce175bc13a&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:32,Indeed
Technical Data Analyst - Python,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=fe2217160750b1ef&bb=cZixMaSigE9w70GuqxrhHaRT2I2SBc0cR-8yDPE9A4WUYAoQX4idmpmP1KDR6dVb1Nr7RT454gZAzeFNo5blRMdwvRchNph5QfZvu34hT_EzbCJP-k2vRQokXQvK9kwG1jewIOYfXU_2FMjFoLwsHA%3D%3D&xkcb=SoBK67M3q0J_56TNRR0IbzkdCdPP&fccid=cd9121ddd97de9e8&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:32,Indeed
Product Support Analyst (Remote - India based),N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=0cad4d12008e674c&bb=cZixMaSigE9w70GuqxrhHfCtZ2No1yPmYzKwHeFkPOvbmWMiXmHTPW8ZZK0rUKBhiq498cPgZihU7QqqEUCx6nvmAqZ-FaQQ4c6Y-3gJOdJnnu-Fqt4SVEoGJv9NG0R5IRGEwTj-t5_Yr9EmWlBscw%3D%3D&xkcb=SoDE67M3q0J_56TNRR0PbzkdCdPP&fccid=1470b0a1e1a284a0&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:32,Indeed
Business Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=79c75b297f651545&bb=cZixMaSigE9w70GuqxrhHZho6mPt9PBGWdt2EhdBsHLjuPW7EuwtJNCdbxwOoaQYqfVBkQbzWNGkZDK7mYqyLvVSFRVQpIhPPYC0EqpTthE1t_iO15qGooLh4jX5BObBGYT2QyZb3PDbHniU80rhRw%3D%3D&xkcb=SoBw67M3q0J_56TNRR0ObzkdCdPP&fccid=dc9baf7ba5726b92&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:33,Indeed
Market Research Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=ccfe407fabb9fe16&bb=cZixMaSigE9w70GuqxrhHWcI2O1DbFNqZl6ubs1KEtfjp5bFb_3-S83Y__GO5YihNP_Q-4BfZ4aNI85FjnvnN2QTJZxOko2U50eZhZLKBb3OxyVPNgt5Io0a_OA_H-j1OI0WlYHSRJ-UFAbbm08bCg%3D%3D&xkcb=SoDt67M3q0J_56TNRR0NbzkdCdPP&fccid=36567d162e89fba2&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:33,Indeed
Business Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=1f73f047a337e828&bb=cZixMaSigE9w70GuqxrhHablXZFCuFQ-nQLBiSFzz_uwJMcWpM0QelJghWsI0vNnO1BRXMo3SJfLTU80WSRpXSA3BchZYEJSLrp2HSIhqsaUXqKhjN_YddZdNwtb_Wqx-XvwQ4Et5o_WUPgbYzOI-A%3D%3D&xkcb=SoBZ67M3q0J_56TNRR0MbzkdCdPP&fccid=b0aa6ff0fc87d7b0&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:33,Indeed
Tariff/Data Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=634e25e94d243838&bb=cZixMaSigE9w70GuqxrhHefEB1fZhBCct0P4inEN1GpB0U0EN4LNTzbKa8U6a4QmabyzGMRQmSLe90oSMqCsE6XrFiPXxPWKhqWfm6xx5zl2uP_upFnzoVHfS9jZcJKpEENxgCDerAqX0MB6Nqc-Hw%3D%3D&xkcb=SoCw67M3q0J_56TNRR0DbzkdCdPP&fccid=158e0efe9ea5fca2&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:33,Indeed
Business Analyst,N/A,Pune,Not Disclosed,N/A,https://in.indeed.com/rc/clk?jk=3eb9c36c4db998d2&bb=cZixMaSigE9w70GuqxrhHSGgQalik1moZ9t_VpGCsvnqlWbGSRNmk26kkLJuvTR8h-xlRjbw7E9ftZ_qI29Hx5f3liRHvuOZ6B50ResKqbZCmMYy9_CAHsJE68ANIuVpVuOuTLO-z2DYosbkM1lO0A%3D%3D&xkcb=SoAE67M3q0J_56TNRR0CbzkdCdPP&fccid=39f75a9c9c496e79&vjs=3,N/A,data analyst,Pune,2025-12-04 12:00:33,Indeed
