job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source
Data Analyst,https://www.naukri.com/job-listings-data-analyst-meera-hr-verticals-pune-1-to-3-years-031225023985,Meera Hr Verticals,1-3 Yrs,5-8.5 Lacs PA,Pune(Senapati Bapat Road),"Data Analysis, Data Cleansing, Troubleshooting, Data Analytics, Database Development, Communication Skills, Power Bi, Data Manipulation, Save",N/A,data-analyst,pune,2025-12-04 12:14:04,Naukri
Data Analyst L3,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-241125926108,Wipro,3-5 Yrs,Not Disclosed,Pune,"data analysis, data mining, business analytics, data engineering, dashboards, python, data validation, data warehousing, Save",N/A,data-analyst,pune,2025-12-04 12:14:04,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-rockwell-automation-noida-new-delhi-pune-bengaluru-0-to-6-years-151025501925,Rockwell Automation,0-6 Yrs,Not Disclosed,"Pune, Noida, New Delhi, Bengaluru","Computer science, Change management, Automation, Data modeling, Data Analyst, Data analytics, Data mining, Continuous improvement, Save",N/A,data-analyst,pune,2025-12-04 12:14:05,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-nexzu-mobility-kolkata-mumbai-pune-chennai-1-to-6-years-241125504822,Nexzu Mobility,1-6 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, Chennai","database maintenance, data analysis, data management, modeling, bi, documentation, power bi, data integrity, Save",N/A,data-analyst,pune,2025-12-04 12:14:05,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-vipany-global-solutions-pune-3-to-5-years-251125033256,Vipany Management Consulting,3-5 Yrs,4.5-9.5 Lacs PA,Hybrid - Pune,"Tableau, SQL, Advanced Excel, Data analysis, Excel, Data, Save",N/A,data-analyst,pune,2025-12-04 12:14:06,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-cindrebay-school-of-fashion-interior-design-kochi-kolkata-kannur-indore-nagpur-hyderabad-pune-lucknow-kozhikode-coimbatore-bengaluru-thiruvananthapuram-1-to-4-years-061125502137,Cindrebay School Of Fashion & Interior Design,1-4 Yrs,Not Disclosed,"Pune, Kochi, Kolkata, Kannur, Indore, Nagpur, Hyderabad, Lucknow, Kozhikode, Coimbatore, Bengaluru, Thiruvananthapuram","database maintenance, python, data analytics, data analysis, design development, information management, mathematics, data mining, Save",N/A,data-analyst,pune,2025-12-04 12:14:06,Naukri
Data Analyst - Python,https://www.naukri.com/job-listings-data-analyst-python-mphasis-pune-chennai-6-to-10-years-271125014543,Mphasis,6-10 Yrs,Not Disclosed,"Pune, Chennai","ETL, Python, GIT, Pandas, JIRA, Numpy, Data, Data analysis, Save",N/A,data-analyst,pune,2025-12-04 12:14:07,Naukri
Data Analyst L3,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-241125925830,Wipro,3-5 Yrs,Not Disclosed,Pune,"data analysis, data mining, business analytics, data engineering, dashboards, python, data validation, data warehousing, Save",N/A,data-analyst,pune,2025-12-04 12:14:07,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-vipany-global-solutions-pune-3-to-6-years-211025005168,Vipany Management Consulting,3-6 Yrs,Not Disclosed,Hybrid - Pune,"SQL, Power Bi, Advanced Excel, Tableau, Python, Excel, Data, Bi, Save",N/A,data-analyst,pune,2025-12-04 12:14:07,Naukri
Data Analyst,https://www.naukri.com/job-listings-data-analyst-systems-plus-solutions-pvt-ltd-pune-2-to-4-years-011225501024,Systems Plus Solutions Pvt Ltd,2-4 Yrs,Not Disclosed,Pune,"Data analysis, ERP, power bi, Data quality, Merchandising, Operations, Analytics, SQL, Save",N/A,data-analyst,pune,2025-12-04 12:14:08,Naukri
